"mlcn","mhp","nhom_hocphan","hoc_ki","nam_hoc"
"DCCTCT66A1","7080116","1","3","2022-2023"
"DCCTCT66A1","7080512","1","3","2022-2023"
"DCCTCT66B1","7080116","1","3","2022-2023"
"DCCTCT66B1","7080512","1","3","2022-2023"
"DCCTCT66D1","7080116","1","3","2022-2023"
"DCCTCT66D1","7080512","1","3","2022-2023"
"DCCTCT66H1","7080116","1","3","2022-2023"
"DCCTCT66H1","7080512","1","3","2022-2023"
"DCCTCT66I1","7080116","1","1","2022-2023"
"DCCTCT66I1","7080512","2","3","2022-2023"
"DCCTCT66K1","7080116","1","1","2022-2023"
"DCCTCT66K1","7080512","2","3","2022-2023"
"DCCTCT66L1","7080116","1","1","2022-2023"
"DCCTCT66L1","7080512","2","3","2022-2023"
"DCCTCT66M1","7080116","1","1","2022-2023"
"DCCTCT66M1","7080512","2","3","2022-2023"
"DCCTDH63A","7080116","1","1","2022-2023"
"DCCTDH63A","7080512","3","3","2022-2023"
"DCCTDH64","7080116","1","1","2022-2023"
"DCCTDH64","7080512","3","3","2022-2023"
"DCCTDH65A","7080116","1","1","2022-2023"
"DCCTDH65A","7080512","3","3","2022-2023"
"DCCTHT63B","7080116","1","1","2022-2023"
"DCCTHT63B","7080512","4","3","2022-2023"
"DCCTHT65A","7080116","1","1","2022-2023"
"DCCTHT65A","7080512","4","3","2022-2023"
"DCCTHT65B","7080116","1","1","2022-2023"
"DCCTKH64A","7080116","1","1","2022-2023"
"DCCTKH64B","7080116","1","1","2022-2023"
"DCCTKH65A","7080116","1","2","2022-2023"
"DCCTKH65B","7080116","1","2","2022-2023"
"DCCTKT62","7080116","1","2","2022-2023"
"DCCTKT63A","7080116","1","2","2022-2023"
"DCCTKT64A","7080116","1","2","2022-2023"
"DCCTKT65A","7080116","1","2","2022-2023"
"DCCTKT65B","7080116","1","2","2022-2023"
"DCCTMM63C","7080116","1","2","2022-2023"
"DCCTMM65A","7080116","1","2","2022-2023"
"DCCTMM65B","7080116","1","2","2022-2023"
"DCCTPM62A","7080116","1","2","2022-2023"
"DCCTPM63A","7080116","1","2","2022-2023"
"DCCTPM64A","7080116","1","2","2022-2023"
"DCCTPM65C","7080116","1","2","2022-2023"
